Vardas         Pavarde        ND1   ND2   ND3   ND4   ND5   ND6   ND7   ND8   ND9   ND10  Egz.  
Vardas1        Pavarde1       2     8     5     1     10    5     9     9     3     5     6     
Vardas2        Pavarde2       6     2     8     2     2     6     3     8     7     2     5     
Vardas3        Pavarde3       3     4     3     3     2     7     9     6     8     7     2     
Vardas4        Pavarde4       9     10    3     8     10    6     5     4     2     3     4     
Vardas5        Pavarde5       4     5     2     2     4     9     8     5     3     8     8     
Vardas6        Pavarde6       10    4     2     10    9     7     6     1     3     9     7     
Vardas7        Pavarde7       1     3     5     9     7     6     1     10    1     1     7     
Vardas8        Pavarde8       2     4     9     10    4     5     5     7     1     7     7     
Vardas9        Pavarde9       2     9     5     10    7     4     8     9     9     3     10    
Vardas10       Pavarde10      2     4     6     10    9     5     1     8     7     4     7     
